Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;90700;90705;20121031;2012;1;1084;1101;1351;84;12
AT13;90700;90705;20121031;2012;2;1250;1241;1372;88;8
AT13;90800;90801;20121031;2012;1;511;639;904;97;761
AT13;90800;90801;20121031;2012;2;611;703;923;88;152
AT13;90800;90802;20121031;2012;1;1195;1549;1989;166;227
AT13;90800;90802;20121031;2012;2;1586;1701;2123;149;350
AT13;90800;90803;20121031;2012;1;946;1055;1334;112;118
AT13;90800;90803;20121031;2012;2;1240;1137;1324;111;89
AT13;90900;90901;20121031;2012;1;1150;1228;1390;125;79
AT13;90900;90901;20121031;2012;2;1432;1306;1391;141;49
AT13;90900;90902;20121031;2012;1;1206;1504;1983;141;453
AT13;90900;90902;20121031;2012;2;1541;1654;2012;137;340
AT13;90900;90903;20121031;2012;1;551;574;731;92;8
AT13;90900;90903;20121031;2012;2;704;662;770;103;7
AT13;90900;90904;20121031;2012;1;1197;1272;1591;117;288
AT13;90900;90904;20121031;2012;2;1492;1410;1573;129;212
AT13;90900;90905;20121031;2012;1;535;671;1093;112;20
AT13;90900;90905;20121031;2012;2;715;753;1171;129;24
AT13;90900;90906;20121031;2012;1;187;231;438;40;81
AT13;90900;90906;20121031;2012;2;242;259;454;51;113
AT13;91000;91001;20121031;2012;1;66;80;280;23;0
AT13;91000;91001;20121031;2012;2;46;82;291;21;0
AT13;91000;91002;20121031;2012;1;1965;2334;4265;823;176
AT13;91000;91002;20121031;2012;2;2082;2468;4074;821;120
AT13;91000;91003;20121031;2012;1;723;968;1439;234;10
AT13;91000;91003;20121031;2012;2;929;1056;1413;205;6
AT13;91000;91004;20121031;2012;1;873;1078;1793;289;18
AT13;91000;91004;20121031;2012;2;912;1068;1639;314;9
AT13;91000;91005;20121031;2012;1;1568;2087;4255;723;109
AT13;91000;91005;20121031;2012;2;1729;2237;4181;680;50
AT13;91000;91006;20121031;2012;1;1313;1552;2877;501;56
AT13;91000;91006;20121031;2012;2;1180;1564;2800;481;78
AT13;91000;91007;20121031;2012;1;1141;1773;2628;260;22
AT13;91000;91007;20121031;2012;2;1624;1843;2534;309;25
AT13;91000;91008;20121031;2012;1;899;1208;2271;294;126
AT13;91000;91008;20121031;2012;2;1021;1270;2206;293;103
AT13;91000;91009;20121031;2012;1;426;629;1086;115;35
AT13;91000;91009;20121031;2012;2;482;701;1096;123;92
AT13;91000;91010;20121031;2012;1;1821;2303;3103;462;1660
AT13;91000;91010;20121031;2012;2;2345;2457;3132;465;562
AT13;91000;91011;20121031;2012;1;851;1090;1946;442;43
AT13;91000;91011;20121031;2012;2;956;1226;1937;423;68
AT13;91000;91012;20121031;2012;1;226;297;696;49;0
AT13;91000;91012;20121031;2012;2;205;325;693;43;0
AT13;91000;91013;20121031;2012;1;554;892;779;69;11
AT13;91000;91013;20121031;2012;2;864;992;794;71;3
AT13;91000;91014;20121031;2012;1;429;665;785;97;7
AT13;91000;91014;20121031;2012;2;549;767;829;94;3
AT13;91000;91015;20121031;2012;1;435;826;1557;84;8
AT13;91000;91015;20121031;2012;2;571;954;1546;98;8
AT13;91000;91016;20121031;2012;1;600;943;1138;80;60
AT13;91000;91016;20121031;2012;2;581;1055;1174;90;179
AT13;91000;91017;20121031;2012;1;43;125;257;20;0
AT13;91000;91017;20121031;2012;2;51;133;242;18;0
AT13;91000;91018;20121031;2012;1;355;533;1142;43;14
AT13;91000;91018;20121031;2012;2;427;621;1140;52;8
AT13;91000;91019;20121031;2012;1;208;422;581;65;5
AT13;91000;91019;20121031;2012;2;283;466;579;85;4
AT13;91000;91020;20121031;2012;1;655;1631;1714;281;64
AT13;91000;91020;20121031;2012;2;1262;1767;1696;266;148
AT13;91000;91021;20121031;2012;1;327;778;1693;106;63
AT13;91000;91021;20121031;2012;2;429;966;1776;114;276
AT13;91000;91022;20121031;2012;1;670;845;1462;184;68
AT13;91000;91022;20121031;2012;2;833;909;1379;185;48
AT13;91000;91023;20121031;2012;1;955;1191;2082;319;79
AT13;91000;91023;20121031;2012;2;1141;1275;1986;353;146
AT13;91100;91101;20121031;2012;1;262;195;291;44;123
AT13;91100;91101;20121031;2012;2;197;219;271;27;153
AT13;91100;91102;20121031;2012;1;1313;1824;2888;463;147
AT13;91100;91102;20121031;2012;2;1609;1972;2840;409;198
AT13;91100;91103;20121031;2012;1;1691;1991;3707;592;71
AT13;91100;91103;20121031;2012;2;1798;2177;3452;650;73
AT13;91100;91104;20121031;2012;1;422;728;980;116;7
AT13;91100;91104;20121031;2012;2;454;758;932;125;2
AT13;91100;91105;20121031;2012;1;1094;1487;2326;273;17
AT13;91100;91105;20121031;2012;2;1258;1669;2355;282;3
AT13;91100;91106;20121031;2012;1;26;48;85;10;0
AT13;91100;91106;20121031;2012;2;16;44;87;9;0
AT13;91100;91107;20121031;2012;1;438;977;1314;235;8
AT13;91100;91107;20121031;2012;2;781;1123;1353;230;3
AT13;91100;91108;20121031;2012;1;64;145;234;7;5
AT13;91100;91108;20121031;2012;2;72;157;243;8;3
AT13;91100;91109;20121031;2012;1;134;241;609;180;34
AT13;91100;91109;20121031;2012;2;142;291;591;134;104
AT13;91100;91110;20121031;2012;1;1592;3137;6386;801;150
AT13;91100;91110;20121031;2012;2;2077;3617;6512;751;290
AT13;91100;91111;20121031;2012;1;374;563;928;125;478
AT13;91100;91111;20121031;2012;2;381;615;926;135;201
AT13;91100;91112;20121031;2012;1;23;52;57;18;120
AT13;91100;91112;20121031;2012;2;18;64;70;14;0
AT13;91100;91113;20121031;2012;1;448;792;930;78;0
AT13;91100;91113;20121031;2012;2;572;870;900;74;9
AT13;91200;91201;20121031;2012;1;439;525;824;125;39
AT13;91200;91201;20121031;2012;2;526;547;764;124;47
AT13;91200;91202;20121031;2012;1;1844;2222;3628;544;106
AT13;91200;91202;20121031;2012;2;2158;2436;3590;555;177
AT13;91200;91203;20121031;2012;1;584;591;1001;208;96
AT13;91200;91203;20121031;2012;2;674;653;967;200;83
AT13;91200;91204;20121031;2012;1;927;1134;1760;228;144
AT13;91200;91204;20121031;2012;2;1122;1188;1667;240;114
AT13;91200;91205;20121031;2012;1;908;1121;1699;218;13
AT13;91200;91205;20121031;2012;2;1201;1221;1632;227;5
AT13;91200;91206;20121031;2012;1;1032;1218;1843;172;19
AT13;91200;91206;20121031;2012;2;1210;1308;1768;157;66
AT13;91200;91207;20121031;2012;1;622;902;1234;184;57
AT13;91200;91207;20121031;2012;2;999;1058;1259;181;117
AT13;91200;91208;20121031;2012;1;521;639;870;135;4
AT13;91200;91208;20121031;2012;2;568;689;871;120;8
AT13;91200;91209;20121031;2012;1;479;731;1886;727;24
AT13;91200;91209;20121031;2012;2;616;803;1923;762;7
AT13;91200;91210;20121031;2012;1;872;1258;2105;196;127
AT13;91200;91210;20121031;2012;2;1122;1330;2124;214;235
AT13;91200;91211;20121031;2012;1;862;1249;1843;153;69
AT13;91200;91211;20121031;2012;2;1260;1469;1871;149;284
AT13;91300;91301;20121031;2012;1;49;63;95;0;1
AT13;91300;91301;20121031;2012;2;66;75;94;0;0
AT13;91300;91302;20121031;2012;1;495;746;1296;156;22
AT13;91300;91302;20121031;2012;2;850;886;1373;170;2
