Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Housing units in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_TOTAL;WHG_WSA_1;WHG_WSA_0;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_BEHEIZ_1;WHG_BEHEIZ_0;WHG_BAD_1;WHG_BAD_0;WHG_TOI_1;WHG_TOI_0;WHG_WSS_1;WHG_WSS_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;REF_DAT
AT1;AT13;AT130;90200;90209;7547;7038;509;509;2787;2085;1957;209;87;530;6676;254;696;1289;5426;136;1338;1846;3173;1141;49;7252;295;7273;274;7021;526;7516;31;6776;134;111;526;1;0;7511;6;29;2160;4511;716;160;1813;820;1077;1160;1436;307;101;210;623;4;2;14;58;1906;5563;20111031
AT1;AT13;AT130;90200;90210;3;1;2;2;0;1;0;0;3;0;0;0;0;0;2;1;0;0;1;0;2;3;0;3;0;3;0;3;0;3;0;0;0;1;0;0;0;2;1;0;0;2;0;0;0;0;2;0;0;0;1;1;2;0;0;0;0;20111031
AT1;AT13;AT130;90300;90301;6696;5620;1076;1076;2637;1688;1238;57;115;769;5415;397;579;1084;4572;461;1194;1288;2259;1474;481;6128;568;6376;320;6053;643;6680;16;5567;336;150;643;3;4;6592;0;97;4878;752;264;802;5016;350;344;432;187;272;43;47;5;10;6;49;844;3648;2139;20111031
AT1;AT13;AT130;90300;90302;5175;4321;854;854;2022;1277;966;56;89;626;4069;391;342;581;3682;570;532;812;1771;1406;654;4878;297;5017;158;4999;176;5166;9;4667;230;102;176;10;4;4974;63;124;3519;648;220;788;3404;303;349;365;442;149;91;1;71;15;6;93;739;2671;1651;20111031
AT1;AT13;AT130;90300;90303;3595;2942;653;653;1397;775;720;50;69;391;2830;305;255;444;2354;542;438;599;1087;848;623;3437;158;3526;69;3498;97;3590;5;3321;129;48;97;7;8;3469;8;103;1770;811;111;903;1882;518;741;168;166;28;3;43;46;22;22;94;555;1592;1310;20111031
AT1;AT13;AT130;90300;90304;6812;5585;1227;1227;2840;1565;1120;60;85;1736;4306;685;701;1370;4458;283;1603;1693;2430;846;240;6237;575;6510;302;6130;682;6792;20;5659;348;123;682;1;0;6732;34;45;5387;729;107;589;3187;513;1581;951;383;66;43;87;1;3;2;25;346;2370;4066;20111031
AT1;AT13;AT130;90300;90305;4819;4078;741;741;1932;1193;909;44;71;774;3651;323;427;714;3480;198;779;1002;1921;986;131;4538;281;4644;175;4432;387;4799;20;4198;164;70;387;2;6;4711;15;85;3482;404;409;524;2441;83;232;489;365;246;555;128;280;9;12;76;543;2219;1960;20111031
AT1;AT13;AT130;90300;90306;9234;8127;1107;1107;4303;2168;1569;87;104;978;7605;547;1045;2243;5732;214;2590;2603;2982;911;148;8689;545;8762;472;8432;802;9200;34;7907;295;230;802;2;10;9121;4;97;4611;2940;816;867;4366;1694;1186;733;264;382;225;163;221;11;12;80;730;4239;4162;20111031
AT1;AT13;AT130;90300;90307;2826;2441;385;385;1148;682;575;36;23;157;2491;155;422;588;1777;39;811;841;920;215;39;2641;185;2710;116;2569;257;2816;10;2454;86;29;257;8;2;2708;66;42;1047;1004;396;379;730;32;835;309;133;11;281;86;409;20;12;7;70;748;1969;20111031
AT1;AT13;AT130;90300;90308;923;779;144;144;357;273;141;8;111;1;776;35;43;64;738;78;82;71;442;221;107;914;9;906;17;920;3;922;1;896;9;15;3;107;6;807;0;3;122;798;1;2;289;12;101;294;13;186;12;5;11;108;8;0;20;412;375;20111031
AT1;AT13;AT130;90300;90309;5130;4357;773;773;2009;1282;1015;51;99;674;4059;298;283;679;3452;716;563;967;1750;1094;756;4859;271;4989;141;4879;251;5120;10;4618;197;64;251;5;4;5032;21;68;3478;663;461;528;3194;167;486;361;172;327;66;276;81;9;16;78;613;2715;1699;20111031
AT1;AT13;AT130;90300;90310;4567;3784;783;783;1845;986;868;85;46;461;3773;287;541;1021;2921;84;1293;1371;1404;454;45;4229;338;4253;314;4103;464;4553;14;3716;185;202;464;1;2;4441;78;45;2049;2119;141;258;1836;1462;257;142;108;600;46;113;3;4;6;18;145;1752;2642;20111031
AT1;AT13;AT130;90300;90311;1550;1438;112;112;748;381;288;21;7;98;1402;43;208;345;982;15;497;434;558;56;5;1522;28;1464;86;1546;4;1550;0;1445;17;84;4;0;2;1544;0;4;180;1081;289;0;2;729;422;147;0;88;9;0;153;1;2;3;50;1133;361;20111031
AT1;AT13;AT130;90400;90401;1558;1203;355;355;615;332;237;19;27;178;1257;96;217;218;913;210;300;302;419;299;238;1510;48;1500;58;1494;64;1554;4;1430;34;30;64;0;4;1444;2;108;812;185;0;561;846;502;68;60;65;0;0;17;0;7;6;48;336;603;558;20111031
AT1;AT13;AT130;90400;90402;6198;5100;1098;1098;2549;1413;1083;55;104;1043;4656;395;434;876;4197;691;897;1217;1993;1354;737;5859;339;5960;238;5920;278;6188;10;5543;234;143;278;9;4;6050;14;121;3938;804;214;1242;3604;370;855;529;190;194;114;280;62;17;8;136;778;2830;2429;20111031
AT1;AT13;AT130;90400;90403;7449;6116;1333;1333;2977;1799;1269;71;110;1241;5574;524;597;978;5155;719;964;1451;2495;1725;814;7010;439;7216;233;7039;410;7437;12;6598;313;128;410;1;8;7228;77;135;5186;704;436;1123;4988;80;759;763;401;319;61;64;14;15;20;140;1303;3385;2586;20111031
AT1;AT13;AT130;90400;90404;4128;3456;672;672;1662;973;775;46;38;874;2909;307;289;603;2937;299;554;812;1542;954;266;3918;210;4036;92;4039;89;4126;2;3798;171;70;89;1;2;4085;10;30;2806;981;23;318;1902;129;1171;613;125;142;10;23;13;2;4;18;333;2051;1720;20111031
AT1;AT13;AT130;90500;90501;7663;6176;1487;1487;3275;1702;1150;49;146;1142;5748;627;752;1435;5121;355;1562;1710;2873;1177;341;7055;608;7298;365;6843;820;7642;21;6368;328;147;820;13;12;7451;4;183;5085;659;658;1261;4564;336;233;739;681;544;303;166;97;22;22;164;790;3567;3098;20111031
AT1;AT13;AT130;90500;90502;11532;9947;1585;1585;4965;2662;2156;164;126;1601;9067;738;1406;2628;7243;255;3245;3369;3884;907;127;10595;937;10912;620;10456;1076;11497;35;9557;557;342;1076;1;0;11430;0;101;5877;4157;697;801;4424;2419;2737;844;429;131;284;209;55;7;6;35;288;5749;5447;20111031
AT1;AT13;AT130;90500;90503;9810;8149;1661;1661;4082;2195;1757;115;167;1629;7290;724;1378;2113;6045;274;3042;2503;3186;925;154;8790;1020;9083;727;8219;1591;9725;85;7500;498;221;1591;6;6;9668;40;90;6711;1630;285;1184;5950;1061;663;648;755;221;199;119;194;15;8;110;973;4644;4060;20111031
AT1;AT13;AT130;90500;90504;4076;3331;745;745;1689;979;619;44;63;562;3151;300;422;731;2729;194;878;971;1474;615;138;3776;300;3909;167;3690;386;4065;11;3450;173;67;386;4;2;4042;3;25;2976;199;117;784;2922;118;155;200;149;204;183;76;69;7;2;57;359;1928;1723;20111031
