FID,OBJECTID,SHAPE,BEZUG,OBJ_STR,OBJ_STR_TXT,OBJ_STR2,OBJ_STR2_TXT,BAUTYP,BAUTYP_TXT,ACD,SE_ANNO_CAD_DATA
GEBAEUDETYPOGD.17519174,17519174,"POLYGON ((16.270976072208015 48.18054097545172, 16.270888246308356 48.18055369607426, 16.27088194929873 48.180535436265195, 16.2708387760533 48.18054170703634, 16.270806069493908 48.18045940050136, 16.270887576712127 48.18044541730871, 16.270875599865366 48.180410022192014, 16.270874849621404 48.180407818427355, 16.270971419409285 48.18039231486666, 16.270972183149766 48.180394482665456, 16.270973563202435 48.18039843147101, 16.27098146943997 48.180420199542816, 16.270936547042364 48.1804273686828, 16.270976072208015 48.18054097545172))",033023,9,1946-1976,0,Keine Angabe,0,Keine Angabe,033023,
GEBAEUDETYPOGD.17945919,17945919,"POLYGON ((16.270467613324158 48.180664262342304, 16.270464385330012 48.180664791100675, 16.270438255533833 48.1805925606228, 16.270568316146978 48.180571590647126, 16.270593774101243 48.18064355091647, 16.270467613324158 48.180664262342304))",033027,9,1946-1976,0,Keine Angabe,0,Keine Angabe,033027,
GEBAEUDETYPOGD.17960530,17960530,"POLYGON ((16.27052710480876 48.18072661029734, 16.27048957676422 48.18073477273123, 16.270482474764293 48.18071516345855, 16.270485837462466 48.18071445491209, 16.270517043272708 48.18070789866189, 16.27052710480876 48.18072661029734))",033027,9,1946-1976,0,Keine Angabe,0,Keine Angabe,033027,
GEBAEUDETYPOGD.16741058,16741058,"POLYGON ((16.27047316665839 48.18073833367963, 16.270461464369635 48.18074087208472, 16.270452210373374 48.18072162131116, 16.270482474764293 48.18071516345855, 16.27048957676422 48.18073477273123, 16.27047316665839 48.18073833367963))",033032,9,1946-1976,0,Keine Angabe,0,Keine Angabe,033032,
GEBAEUDETYPOGD.17885743,17885743,"POLYGON ((16.27034458392297 48.18072840368431, 16.270341288756647 48.180728878441464, 16.270313607038567 48.18065054065175, 16.270300677298792 48.180613966819465, 16.27030395905699 48.18061345608289, 16.270438255533833 48.1805925606228, 16.270464385330012 48.180664791100675, 16.270355440618296 48.180682535468485, 16.27037165803188 48.18072454307818, 16.27034458392297 48.18072840368431))",033032,9,1946-1976,0,Keine Angabe,0,Keine Angabe,033032,
