Medizinische Versorgung durch ÄrztInnen und Ärzte (Allgemeinmedizin, Fachmedizin und Zahnmedizin) sowie Apotheken (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Medical care by doctors (general practitioner, medical specialists and dentists) as well as pharmacies (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;ALL_VALUE;ZAH_VALUE;FAC_VALUE;APO_VALUE;ALL_DENSITY;ZAH_DENSITY;FAC_DENSITY;APO_DENSITY
AT13;91800;91800;2018;20181231;70;33;253;12;1,35;0,64;4,90;0,23
AT13;91900;91900;2018;20181231;86;52;374;12;1,18;0,72;5,15;0,17
AT13;92000;92000;2018;20181231;47;28;69;12;0,54;0,32;0,79;0,14
AT13;92100;92100;2018;20181231;80;42;126;27;0,49;0,26;0,77;0,16
AT13;92200;92200;2018;20181231;92;63;178;25;0,49;0,33;0,94;0,13
AT13;92300;92300;2018;20181231;74;33;125;17;0,71;0,31;1,19;0,16
AT13;90000;90000;2019;20191231;1.456;944;3.976;330;0,77;0,50;2,09;0,17
AT13;90100;90100;2019;20191231;74;83;382;21;4,58;5,14;23,64;1,30
AT13;90200;90200;2019;20191231;79;37;164;20;0,75;0,35;1,56;0,19
AT13;90300;90300;2019;20191231;74;57;211;16;0,81;0,62;2,30;0,17
AT13;90400;90400;2019;20191231;38;34;107;8;1,15;1,02;3,22;0,24
AT13;90500;90500;2019;20191231;41;25;87;9;0,74;0,45;1,58;0,16
AT13;90600;90600;2019;20191231;37;32;126;7;1,17;1,01;3,97;0,22
AT13;90700;90700;2019;20191231;49;30;117;9;1,53;0,94;3,65;0,28
AT13;90800;90800;2019;20191231;54;29;244;5;2,15;1,15;9,70;0,20
AT13;90900;90900;2019;20191231;63;71;439;13;1,50;1,69;10,47;0,31
AT13;91000;91000;2019;20191231;81;58;105;28;0,39;0,28;0,51;0,14
AT13;91100;91100;2019;20191231;43;26;53;12;0,41;0,25;0,51;0,12
AT13;91200;91200;2019;20191231;67;48;100;16;0,69;0,49;1,03;0,16
AT13;91300;91300;2019;20191231;83;29;261;8;1,54;0,54;4,85;0,15
AT13;91400;91400;2019;20191231;58;46;129;15;0,62;0,49;1,38;0,16
AT13;91500;91500;2019;20191231;48;30;73;14;0,62;0,39;0,95;0,18
AT13;91600;91600;2019;20191231;64;36;101;16;0,62;0,35;0,98;0,15
AT13;91700;91700;2019;20191231;37;25;134;8;0,65;0,44;2,35;0,14
AT13;91800;91800;2019;20191231;74;32;264;12;1,44;0,62;5,13;0,23
AT13;91900;91900;2019;20191231;86;51;379;12;1,17;0,69;5,16;0,16
AT13;92000;92000;2019;20191231;50;29;68;12;0,58;0,34;0,79;0,14
AT13;92100;92100;2019;20191231;84;43;126;27;0,50;0,26;0,76;0,16
AT13;92200;92200;2019;20191231;96;61;180;25;0,50;0,32;0,93;0,13
AT13;92300;92300;2019;20191231;76;32;126;17;0,70;0,30;1,16;0,16
AT13;90000;90000;2020;20201231;1.439;947;4.083;331;0,75;0,49;2,13;0,17
AT13;90100;90100;2020;20201231;75;88;390;21;4,72;5,54;24,53;1,32
AT13;90200;90200;2020;20201231;80;37;161;20;0,76;0,35;1,53;0,19
AT13;90300;90300;2020;20201231;72;58;216;16;0,78;0,63;2,34;0,17
AT13;90400;90400;2020;20201231;39;34;113;8;1,18;1,03;3,42;0,24
AT13;90500;90500;2020;20201231;40;24;95;9;0,73;0,44;1,73;0,16
AT13;90600;90600;2020;20201231;41;35;126;7;1,30;1,11;4,00;0,22
AT13;90700;90700;2020;20201231;49;29;122;9;1,54;0,91;3,83;0,28
AT13;90800;90800;2020;20201231;53;31;264;5;2,16;1,26;10,74;0,20
AT13;90900;90900;2020;20201231;61;74;471;13;1,46;1,77;11,28;0,31
AT13;91000;91000;2020;20201231;84;61;113;28;0,40;0,29;0,54;0,13
AT13;91100;91100;2020;20201231;42;25;53;12;0,40;0,24;0,51;0,11
AT13;91200;91200;2020;20201231;64;44;104;16;0,66;0,45;1,07;0,16
AT13;91300;91300;2020;20201231;85;31;262;8;1,57;0,57;4,85;0,15
AT13;91400;91400;2020;20201231;57;45;128;15;0,61;0,48;1,37;0,16
AT13;91500;91500;2020;20201231;48;29;75;14;0,63;0,38;0,98;0,18
AT13;91600;91600;2020;20201231;63;36;95;16;0,61;0,35;0,92;0,16
AT13;91700;91700;2020;20201231;35;25;141;8;0,62;0,44;2,48;0,14
AT13;91800;91800;2020;20201231;75;31;268;12;1,46;0,60;5,22;0,23
AT13;91900;91900;2020;20201231;82;51;386;12;1,11;0,69;5,23;0,16
AT13;92000;92000;2020;20201231;47;27;68;12;0,55;0,31;0,79;0,14
AT13;92100;92100;2020;20201231;82;46;125;27;0,48;0,27;0,73;0,16
AT13;92200;92200;2020;20201231;92;56;179;25;0,47;0,28;0,91;0,13
AT13;92300;92300;2020;20201231;73;30;128;18;0,66;0,27;1,15;0,16
